Altium Designer Pick and Place Locations
D:\Chicago\AltiumFiles\Dash1_2\ProjectOutputsDash1_2\Pick Place for HOL-Dash_1_2.csv

========================================================================================================================
File Design Information:

Date:       06/10/17
Time:       08:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U9","","BottomLayer","SC70-5","634.000","298.000","90","IC, Current-limited  Load Switch, Active High"
"J20","BAT_TERM_TOP_ENTRY","TopLayer","JST-PH-2-Top","2032.283","550.000","270","Battery Connector JST-PH2 Top Entry"
"D2","LED_RGB_1mm_sq","TopLayer","LED-RGB-1X1","1450.000","400.000","270","LED, Tri-color, RGB, 1mm sq"
"R22","160","TopLayer","RES0402","1370.000","430.000","360","Resistor, 160 ohm, 0402 case, 1%"
"R21","120","TopLayer","RES0402","1370.000","395.000","360","Resistor, 120 ohm, 0402 case, 1%"
"R20","470","TopLayer","RES0402","1370.000","360.000","360","Resistor, 470 ohm, 0402 case, 1%"
"U16","SARA-U2XX","TopLayer","SARA","699.472","400.000","90","Module, uBlox, SARA-U2xx"
"R2","22","TopLayer","RES0402","1870.000","225.000","180","Resistor, 22 ohm, 0402 case, 1%"
"R1","22","TopLayer","RES0402","1870.000","190.000","180","Resistor, 22 ohm, 0402 case, 1%"
"X3","32.768 kHz","BottomLayer","CRYSTAL_ABS05","960.000","495.000","90","32.768kHz ±20ppm Crystal 12.5pF 90 kOhm -40°C ~ 85°C Surface Mount 2-SMD"
"X2","32.768 kHz","BottomLayer","CRYSTAL_ABS05","1153.000","164.000","180","32.768kHz ±20ppm Crystal 12.5pF 90 kOhm -40°C ~ 85°C Surface Mount 2-SMD"
"X1","CRYSTAL_16MHz","BottomLayer","CRYSTAL-SMD-2X1.6","1040.000","525.000","90","Crystal SMD, 16 MHz"
"U8","VOLTAGE_TRANSLATOR_4_BIT","BottomLayer","UQFN_16","740.000","234.000","360","IC, Voltage Translator, 4-bit"
"U5","MK22FN1M0VLH12","BottomLayer","LQFP-64N","1376.000","394.000","135","ARM® Cortex®-M4 Kinetis K20 Microcontroller IC 32-Bit 120MHz 1MB (1M x 8) FLASH 64-LQFP (10x10)"
"U4","CDBQR0230L","TopLayer","SODFL350X99-2N","1763.701","381.349","270","Schottky Barrier Diode, 1.5 A, 30 V, 0402 package"
"U3","CDBQR0230L","BottomLayer","SODFL350X99-2N","1810.315","170.197","180","Schottky Barrier Diode, 1.5 A, 30 V, 0402 package"
"U2","TPS63020","BottomLayer","QFN-14-POWERPAD3X4DSJ","1990.630","323.630","180","Regulator, Boost Buck, Adjustable, 3A"
"R2000","10K","BottomLayer","RES0402","1926.000","660.823","90","Resistor, 10k ohm, 0402"
"R66","0","TopLayer","RES0402","1870.000","260.000","180","Resistor, 0 ohm, 0402"
"R65","75","TopLayer","RES0402","71.000","193.000","360","Resistor, 75 ohm, 0402, 1%"
"R51","100K","BottomLayer","RES0402","885.000","157.000","360","Resistor, 100k ohm, 0402"
"R47","10K","TopLayer","RES0402","1520.000","530.000","90","Resistor, 10k ohm, 0402"
"R45","1k","BottomLayer","RES0402","1885.000","586.000","270","Resistor, 1k, 0402 case, 1%"
"R40","10K","BottomLayer","RES0402","1670.000","608.000","180","Resistor, 10k ohm, 0402"
"R35","10K","BottomLayer","RES0402","1645.000","680.000","180","Resistor, 10k ohm, 0402"
"R26","75","TopLayer","RES0402","1610.000","355.000","360","Resistor, 75 ohm, 0402, 1%"
"R24","10K","TopLayer","RES0402","1515.000","390.000","270","Resistor, 10k ohm, 0402"
"R19","470","BottomLayer","RES0402","1555.000","140.000","270","Resistor, 470 ohm, 0402 case, 1%"
"R8","2k","BottomLayer","RES0402","2105.000","516.000","360","Resistor, 2K ohm, 0402 case"
"R7","62k","BottomLayer","RES0402","2105.000","481.000","360","Resistor, 62K ohm, 0402 case"
"L7","FerriteBead_220ohm","BottomLayer","RES0603","486.000","657.000","180","FerriteBead, 220ohm"
"L3","FerriteBead_220ohm","TopLayer","RES0603","1386.000","145.000","90","FerriteBead, 220ohm"
"L2","FerriteBead_220ohm","TopLayer","RES0603","1773.000","242.000","90","FerriteBead, 220ohm"
"L1","FerriteBead_220ohm","TopLayer","RES0603","1485.000","197.000","180","FerriteBead, 220ohm"
